cohort_month,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11
2024-11-01,2203,44,33,37,44,49,48,48,46,28,43,25
2024-12-01,2877,40,64,78,75,57,65,73,48,48,36,0
2025-01-01,2798,54,45,56,50,57,59,43,45,35,0,0
2025-02-01,2475,60,55,58,49,39,40,38,24,0,0,0
2025-03-01,3188,56,71,86,91,70,68,39,0,0,0,0
2025-04-01,3155,68,72,100,72,69,46,0,0,0,0,0
2025-05-01,4298,85,135,92,75,56,0,0,0,0,0,0
2025-06-01,4151,112,102,76,53,0,0,0,0,0,0,0
2025-07-01,3418,79,62,52,0,0,0,0,0,0,0,0
2025-08-01,2498,58,35,0,0,0,0,0,0,0,0,0
2025-09-01,1856,15,0,0,0,0,0,0,0,0,0,0
2025-10-01,1757,0,0,0,0,0,0,0,0,0,0,0
