cohort_month,rev0,rev1,rev2,rev3,rev4,rev5,rev6,rev7,rev8,rev9,rev10,rev11
2024-11-01,76901670,1684109,1587003,1511605,1882707,2222623,2076348,2210331,2021821,1292454,1872923,1202615
2024-12-01,97137969,1783042,2376866,3314346,3449733,2872773,3080285,3317383,2132200,2117712,1605800,0
2025-01-01,94864082,2052809,1657203,2513264,2143519,2436552,2764614,1774681,1662004,1477665,0,0
2025-02-01,84313761,2480597,2331521,2251771,2117414,1596774,1684214,1374912,1167450,0,0,0
2025-03-01,116802463,2463304,2963797,3699892,3752800,3077202,2964521,1571977,0,0,0,0
2025-04-01,115821256,2678397,3319054,4598693,3160048,3049805,2108809,0,0,0,0,0
2025-05-01,159011216,3767743,5693762,4011669,2918847,2325771,0,0,0,0,0,0
2025-06-01,150395070,4850546,4241855,3186565,2109925,0,0,0,0,0,0,0
2025-07-01,119393271,3300830,2496946,2398288,0,0,0,0,0,0,0,0
2025-08-01,86282779,2316107,1394875,0,0,0,0,0,0,0,0,0
2025-09-01,64152449,676985,0,0,0,0,0,0,0,0,0,0
2025-10-01,60995808,0,0,0,0,0,0,0,0,0,0,0
