cohort_month,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11
2024-11-01,1845,35,29,23,28,29,28,25,23,14,22,10
2024-12-01,2500,37,46,64,47,34,37,47,27,27,19,0
2025-01-01,2480,48,39,38,38,35,36,29,24,17,0,0
2025-02-01,2194,56,50,51,42,26,25,26,17,0,0,0
2025-03-01,2833,49,64,76,64,50,45,26,0,0,0,0
2025-04-01,2843,65,62,83,61,49,33,0,0,0,0,0
2025-05-01,3987,78,125,79,67,46,0,0,0,0,0,0
2025-06-01,3834,105,94,65,51,0,0,0,0,0,0,0
2025-07-01,3167,73,58,50,0,0,0,0,0,0,0,0
2025-08-01,2327,54,31,0,0,0,0,0,0,0,0,0
2025-09-01,1719,15,0,0,0,0,0,0,0,0,0,0
2025-10-01,1698,0,0,0,0,0,0,0,0,0,0,0
