단어조합,빈도,순위
등록된 네이버,19,1
네이버 페이,19,2
페이 구매평,19,3
이것만 발라도,2,4
두번째 구매입니다,2,5
하나만 발라도,2,6
바르고 잤는데,2,7
맘에 듭니다,2,8
이것만 바른다고,1,9
좋아질까 했는데,1,10
했는데 남자친구한테,1,11
남자친구한테 하니,1,12
하니 성물,1,13
성물 했더니,1,14
했더니 한번바르고,1,15
피부가 탱탱해지는거,1,16
탱탱해지는거 보고,1,17
보고 효과가,1,18
효과가 있구나,1,19
있구나 생각했어요,1,20
발라도 절때,1,21
절때 건조하지,1,22
건조하지 않아요,1,23
않아요 계속,1,24
계속 덧바를때도,1,25
처음부터 두껍게,1,26
두껍게 바르고,1,27
바르고 팩처럼,1,28
팩처럼 쓰기도,1,29
미리준비도 했네요,1,30
했네요 써도써도,1,31
써도써도 이번에,1,32
이번에 다낭,1,33
다낭 놀러가는데,1,34
놀러가는데 이거,1,35
이거 두개는,1,36
구매입니다 포장도,1,37
포장도 친환경적이고,1,38
친환경적이고 깔끔해요,1,39
깔끔해요 화장하기전에,1,40
화장하기전에 바르는데,1,41
바르는데 밀리지도,1,42
밀리지도 않고,1,43
않고 좋아요,1,44
좋아요 신랑이,1,45
구매입니다 이거,1,46
이거 하나만,1,47
하나만 바르는데,1,48
바르는데 트러블도,1,49
좋습니다 다만,1,50
다만 저번에,1,51
저번에 쓰면서,1,52
쓰면서 불편했던,1,53
불편했던 점이,1,54
점이 있었는데,1,55
있었는데 인쇄된글자가,1,56
인쇄된글자가 지워지는게,1,57
지워지는게 찝찝합니다,1,58
찝찝합니다 이부분이,1,59
이부분이 개선되었으면,1,60
개선되었으면 좋겠습니다,1,61
세번째구매 다름거쓰다가,1,62
다름거쓰다가 다시,1,63
다시 돌아왓어요,1,64
돌아왓어요 포장용기,1,65
포장용기 바꿔줫으면,1,66
너부좋아서 수시로,1,67
수시로 얼굴에,1,68
얼굴에 발라줘요,1,69
발라줘요 차에두,1,70
차에두 놓구,1,71
놓구 헬스장락카두,1,72
헬스장락카두 뫃구,1,73
든든해요 많이파세요,1,74
용량이 많아서,1,75
많아서 좋구요,1,76
좋구요 듬뿍발라도,1,77
듬뿍발라도 끈적임이,1,78
끈적임이 없습니다,1,79
없습니다 청소년,1,80
청소년 자녀와,1,81
자녀와 함께,1,82
함께 재구매입니다,1,83
재구매입니다 등록된,1,84
클렌저도 크림도,1,85
고민하다가 샀는데,1,86
샀는데 생각,1,87
생각 외로,1,88
괜찮아서 추가,1,89
추가 구매,1,90
구매 더해야겠어요,1,91
더해야겠어요 번창하세요,1,92
이젠 스킨,1,93
스킨 로션,1,94
로션 없어도,1,95
없어도 될만큼,1,96
될만큼 이거,1,97
이거 하나로만,1,98
하나로만 써요,1,99
한번 쓰기,1,100
쓰기 시작하니,1,101
시작하니 이제,1,102
이제 제품만,1,103
제품만 쓰게되네요,1,104
예전에도 사용했던,1,105
사용했던 제품이에요,1,106
제품이에요 다른,1,107
다른 제품들,1,108
제품들 돌고,1,109
돌고 돌다가,1,110
돌다가 다시,1,111
다시 왔습니다,1,112
왔습니다 믿고,1,113
제품 감사합니다,1,114
감사합니다 예민한,1,115
예민한 피부인데,1,116
피부인데 제품은,1,117
제품은 사용하고,1,118
사용하고 한번도,1,119
한번도 트러블이,1,120
트러블이 올라오거나,1,121
올라오거나 피부가,1,122
피부가 뒤집어진,1,123
뒤집어진 적이,1,124
적이 없어요,1,125
없어요 용량도,1,126
용량도 커서,1,127
커서 이유가,1,128
이유가 없습니다,1,129
없습니다 제가,1,130
건조한 피부고,1,131
피부고 느끼기에,1,132
느끼기에 엄청,1,133
엄청 촉촉한,1,134
촉촉한 아니여서,1,135
아니여서 여러번,1,136
여러번 덧바르고,1,137
여름에 사용하기,1,138
사용하기 좋은,1,139
좋은 제품인,1,140
동생이 선물해줘서,1,141
선물해줘서 써보고,1,142
써보고 좋아서,1,143
좋아서 내산했어요,1,144
내산했어요 등록된,1,145
세번째 구매합니다,1,146
구매합니다 싸고,1,147
싸고 순하고,1,148
순하고 얼굴목에,1,149
얼굴목에 바르고,1,150
광고보고 후기가,1,151
후기가 좋길래,1,152
좋길래 사봣어요,1,153
사봣어요 제품을,1,154
제품을 받고도,1,155
받고도 한참후에,1,156
한참후에 개봉해서,1,157
개봉해서 썼어요,1,158
썼어요 원래,1,159
원래 귀찮아서,1,160
귀찮아서 후기,1,161
후기 안쓰는데,1,162
안쓰는데 화장품,1,163
좋네요 일부러,1,164
일부러 다시,1,165
다시 들어와서,1,166
들어와서 후기남겨요,1,167
후기남겨요 강력,1,168
강력 추천합니다,1,169
어느새 주기적으로,1,170
주기적으로 주문하게,1,171
템이 됐어요,1,172
됐어요 이제,1,173
이제 엄마도,1,174
엄마도 자꾸,1,175
자꾸 사달라고,1,176
사달라고 하셔서,1,177
하셔서 텅장,1,178
텅장 부담없이,1,179
부담없이 바를,1,180
발라도 마음이,1,181
마음이 놓여요,1,182
놓여요 감사합니당,1,183
재구매입니다 대용량에,1,184
대용량에 여름이면,1,185
여름이면 휴대용도,1,186
휴대용도 있어서,1,187
있어서 좋아요,1,188
좋아요 부담없어,1,189
부담없어 많이,1,190
많이 쓰게,1,191
쓰게 되네요,1,192
되네요 등록된,1,193
번째 재구매입니다,1,194
재구매입니다 저보다,1,195
저보다 예민한,1,196
예민한 남편도,1,197
남편도 만족하며,1,198
만족하며 같이,1,199
