키워드,빈도,순위
좋아요,203,1
쓰고,71,2
좋은,62,3
바르고,61,4
하나만,57,5
피부가,54,6
좋고,41,7
만족합니다,40,8
좋네요,39,9
발라도,36,10
아직,35,11
사용하고,34,12
좋습니다,34,13
이거,33,14
만족해요,31,15
일단,30,16
촉촉하고,29,17
아이크림,29,18
제품,28,19
좋아서,27,20
같이,27,21
구매했어요,27,22
저는,27,23
다시,24,24
있어서,23,25
피부에,23,26
얼굴,23,27
양도,22,28
꾸준히,22,29
바로,22,30
번째,22,31
재구매,21,32
않고,21,33
향도,21,34
썬플랜,21,35
바르면,21,36
하나로,21,37
피부,21,38
믿고,20,39
크림,19,40
순하고,19,41
두번째,18,42
하나,18,43
편하고,18,44
부드럽고,18,45
느낌이,18,46
써보고,17,47
제가,17,48
있어,17,49
용량도,17,50
맘에,17,51
화장품,17,52
함께,17,53
듬뿍,16,54
간편하고,16,55
대용량이라,16,56
이제,16,57
사용,15,58
다른,15,59
얼굴에,15,60
바를,15,61
이것만,15,62
같아,14,63
기분이,14,64
상품이에요,14,65
선택이었던,14,66
얼굴이,14,67
이번에,14,68
많고,14,69
사서,14,70
만큼,13,71
발림성도,13,72
용량이,13,73
제품입니다,13,74
들어요,13,75
않아서,13,76
같습니다,13,77
거품이,13,78
좋다고,12,79
벌써,12,80
구매,12,81
했는데,12,82
아침에,12,83
작은,12,84
양이,12,85
사용하기,11,86
없어서,11,87
해서,11,88
바르니,11,89
엄마랑,11,90
여행용,10,91
있는데,10,92
없이,10,93
대용량,10,94
하나씩,10,95
있었는데,10,96
온가족이,10,97
제품을,10,98
구입했어요,10,99
향이,10,100
